"Symbol","Scientific Name","Duration","Growth Habit","Native Status","Invasive"
"ACIN12","Acalypha indica L.","","","",""
"ACME7","Acalypha indica L. var. mexicana","","","",""
"ACPO","Acalypha indica Vell., non L.","","","",""
"ACLA9","Acalypha lanceolata Willd.","","","",""
"ACPH3","Acalypha lindheimeri MÃ¼ll. Arg.","","","",""
"ACPH3","Acalypha lindheimeri MÃ¼ll. Arg. var. major Pax & K. Hoffm.","","","",""
"ACME7","Acalypha mexicana MÃ¼ll. Arg.","","","",""
"ACMO4","Acalypha monococca","","","",""
"ACMO","Acalypha monostachya Cav.","","","",""
"ACNE","Acalypha neomexicana MÃ¼ll. Arg.","","","",""
"ACOS","Acalypha ostryifolia Riddell","","","",""
"ACPH3","Acalypha phleoides Cav.","","","",""
"ACPO","Acalypha poiretii Spreng.","","","",""
